Symbol,Sector,Industry
360ONE.NS,Financial Services,Asset Management
3MINDIA.NS,Industrials,Conglomerates
ABB.NS,Industrials,Specialty Industrial Machinery
ACC.NS,Basic Materials,Building Materials
ACMESOLAR.NS,Utilities,Utilities - Renewable
AIAENG.NS,Industrials,Specialty Industrial Machinery
APLAPOLLO.NS,Basic Materials,Steel
AUBANK.NS,Financial Services,Banks - Regional
AWL.NS,Consumer Defensive,Packaged Foods
AADHARHFC.NS,Financial Services,Mortgage Finance
AARTIIND.NS,Basic Materials,Specialty Chemicals
AAVAS.NS,Financial Services,Mortgage Finance
ABBOTINDIA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ACE.NS,Industrials,Farm & Heavy Construction Machinery
ADANIENSOL.NS,Utilities,Utilities - Independent Power Producers
ADANIENT.NS,Energy,Thermal Coal
ADANIGREEN.NS,Utilities,Utilities - Renewable
ADANIPORTS.NS,Industrials,Marine Shipping
ADANIPOWER.NS,Utilities,Utilities - Independent Power Producers
ATGL.NS,Utilities,Utilities - Regulated Gas
ABCAPITAL.NS,Financial Services,Financial Conglomerates
ABFRL.NS,Consumer Cyclical,Apparel Manufacturing
ABLBL.NS,Consumer Cyclical,Apparel Retail
ABREL.NS,Basic Materials,Paper & Paper Products
ABSLAMC.NS,Financial Services,Asset Management
AEGISLOG.NS,Energy,Oil & Gas Refining & Marketing
AFCONS.NS,Industrials,Engineering & Construction
AFFLE.NS,Communication Services,Advertising Agencies
AJANTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AKUMS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
APLLTD.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALIVUS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE.NS,Basic Materials,Specialty Chemicals
ALOKINDS.NS,Consumer Cyclical,Textile Manufacturing
ARE&M.NS,Industrials,Electrical Equipment & Parts
AMBER.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBUJACEM.NS,Unknown,Unknown
ANANDRATHI.NS,Financial Services,Asset Management
ANANTRAJ.NS,Real Estate,Real Estate - Development
ANGELONE.NS,Financial Services,Capital Markets
APARINDS.NS,Industrials,Electrical Equipment & Parts
APOLLOHOSP.NS,Healthcare,Medical Care Facilities
APOLLOTYRE.NS,Consumer Cyclical,Auto Parts
APTUS.NS,Financial Services,Mortgage Finance
ASAHIINDIA.NS,Consumer Cyclical,Auto Parts
ASHOKLEY.NS,Industrials,Farm & Heavy Construction Machinery
ASIANPAINT.NS,Basic Materials,Specialty Chemicals
ASTERDM.NS,Healthcare,Medical Care Facilities
ASTRAZEN.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ASTRAL.NS,Industrials,Building Products & Equipment
ATUL.NS,Basic Materials,Specialty Chemicals
AUROPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AIIL.NS,Financial Services,Capital Markets
DMART.NS,Consumer Defensive,Discount Stores
AXISBANK.NS,Financial Services,Banks - Regional
BASF.NS,Basic Materials,Specialty Chemicals
BEML.NS,Industrials,Conglomerates
BLS.NS,Industrials,Specialty Business Services
BSE.NS,Financial Services,Financial Data & Stock Exchanges
BAJAJ-AUTO.NS,Consumer Cyclical,Auto Manufacturers
BAJFINANCE.NS,Financial Services,Credit Services
BAJAJFINSV.NS,Financial Services,Financial Conglomerates
BAJAJHLDNG.NS,Financial Services,Asset Management
BAJAJHFL.NS,Financial Services,Mortgage Finance
BALKRISIND.NS,Consumer Cyclical,Auto Parts
BALRAMCHIN.NS,Consumer Defensive,Confectioners
BANDHANBNK.NS,Financial Services,Banks - Regional
BANKBARODA.NS,Financial Services,Banks - Regional
BANKINDIA.NS,Financial Services,Banks - Regional
MAHABANK.NS,Financial Services,Banks - Regional
BATAINDIA.NS,Consumer Cyclical,Footwear & Accessories
BAYERCROP.NS,Basic Materials,Agricultural Inputs
BERGEPAINT.NS,Basic Materials,Specialty Chemicals
BDL.NS,Industrials,Aerospace & Defense
BEL.NS,Industrials,Aerospace & Defense
BHARATFORG.NS,Unknown,Unknown
BHEL.NS,Industrials,Specialty Industrial Machinery
BPCL.NS,Energy,Oil & Gas Refining & Marketing
BHARTIARTL.NS,Communication Services,Telecom Services
BHARTIHEXA.NS,Communication Services,Telecom Services
BIKAJI.NS,Consumer Defensive,Packaged Foods
BIOCON.NS,Unknown,Unknown
BSOFT.NS,Technology,Information Technology Services
BLUEDART.NS,Industrials,Integrated Freight & Logistics
BLUESTARCO.NS,Industrials,Building Products & Equipment
BBTC.NS,Consumer Defensive,Packaged Foods
BOSCHLTD.NS,Consumer Cyclical,Auto Parts
FIRSTCRY.NS,Consumer Cyclical,Internet Retail
BRIGADE.NS,Real Estate,Real Estate - Development
BRITANNIA.NS,Consumer Defensive,Packaged Foods
MAPMYINDIA.NS,Technology,Software - Infrastructure
CCL.NS,Consumer Defensive,Packaged Foods
CESC.NS,Utilities,Utilities - Regulated Electric
CGPOWER.NS,Industrials,Electrical Equipment & Parts
CRISIL.NS,Financial Services,Financial Data & Stock Exchanges
CAMPUS.NS,Consumer Cyclical,Footwear & Accessories
CANFINHOME.NS,Financial Services,Mortgage Finance
CANBK.NS,Financial Services,Banks - Regional
CAPLIPOINT.NS,Healthcare,Drug Manufacturers - Specialty & Generic
CGCL.NS,Financial Services,Credit Services
CARBORUNIV.NS,Industrials,Conglomerates
CASTROLIND.NS,Energy,Oil & Gas Refining & Marketing
CEATLTD.NS,Consumer Cyclical,Auto Parts
CENTRALBK.NS,Financial Services,Banks - Regional
CDSL.NS,Financial Services,Capital Markets
CENTURYPLY.NS,Basic Materials,Lumber & Wood Production
CERA.NS,Industrials,Building Products & Equipment
CHALET.NS,Consumer Cyclical,Lodging
CHAMBLFERT.NS,Basic Materials,Agricultural Inputs
CHENNPETRO.NS,Energy,Oil & Gas Refining & Marketing
CHOLAHLDNG.NS,Financial Services,Credit Services
CHOLAFIN.NS,Financial Services,Credit Services
CIPLA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
CUB.NS,Financial Services,Banks - Regional
CLEAN.NS,Basic Materials,Specialty Chemicals
COALINDIA.NS,Energy,Thermal Coal
COCHINSHIP.NS,Industrials,Aerospace & Defense
